kiyomizudera,清水寺,きよみずでら
kiyomizu-dera-temple,清水寺,きよみずでら
kiyomizu-dera,清水寺,きよみずでら
kiyomizudera-temple,清水寺,きよみずでら
kiyomizu-temple,清水寺,きよみずでら
kyotoimperialpalace,京都御所,きょうとごしょ
heianjingushrine,平安神宮,へいあんじんぐう
heian-jingu-shrine,平安神宮,へいあんじんぐう
heian-jingu,平安神宮,へいあんじんぐう
higashihonganji,東本願寺,ひがしほんがんじ
higashi-hongan-ji-temple,東本願寺,ひがしほんがんじ
higashi-hongan-ji,東本願寺,ひがしほんがんじ
nisihihonganji,西本願寺,にしほんがんじ
nishi-hongan-ji-temple,西本願寺,にしほんがんじ
nishi-hongan-ji,西本願寺,にしほんがんじ
kifunejinja,貴船神社,きふねじんじゃ
koyasan,高野山,こうやさん
hokoji,方広寺,ほうこうじ
hoko-ji-temple,方広寺,ほうこうじ
hoko-ji,方広寺,ほうこうじ
niijojo,二条城,にじょうじょう
koryuji,広隆寺,こうりゅうじ
koryu-ji-temple,広隆寺,こうりゅうじ
koryu-ji,広隆寺,こうりゅうじ
tionin,知恩院,ちおいん
kodaiji,高台寺,こうだいじ
katsuraimperialvilla,桂離宮,かつらりきゅう
ginkakuji,銀閣寺,ぎんかくじ
ginkaku-ji-temple,銀閣寺,ぎんかくじ
ginkaku-ji,銀閣寺,ぎんかくじ
kinkakuji,金閣寺,きんかくじ
kinkaku-ji-temple,金閣寺,きんかくじ
kinkaku-ji,金閣寺,きんかくじ
kenniji,建仁寺,けんんにんじ
byodoin,平等院,びょうどういん
byodo-in-temple,平等院,びょうどういん
byodoin,平等院,びょうどういん
kyotoimperialpalace,御所,きょうとごしょ
toji,東寺,とうじ
to-ji,東寺,とうじ
uzumasa,太秦,うずまさ
gion,祇園,ぎおん
otaninokotsudo,大谷納骨堂,おおたにのうこつどう
umekoji-park,梅小路公園,うめこうじこうえん
atagonembutsutera,愛宕念仏寺, あたごねんぶつじ
otagi-nenbutsu-ji-temple,愛宕念仏寺, あたごねんぶつじ
otagi-nenbutsu-ji,愛宕念仏寺, あたごねんぶつじ
otaginenbutsuji,愛宕念仏寺, あたごねんぶつじ
adashinonembutsuji,化野念仏寺, あだしのねんぶつじ
adashino-nenbutsu-ji-temple,化野念仏寺, あだしのねんぶつじ
adashino-nenbutsu-ji,化野念仏寺, あだしのねんぶつじ
adashinonenbutsuji,化野念仏寺, あだしのねんぶつじ
daikakuji,大覚寺,だいかくじ
daikaku-ji-temple,大覚寺,だいかくじ
daikaku-ji,大覚寺,だいかくじ
gionji,祇園寺,ぎおんじ
