伏見稲荷大社,fushimiinaritaisha, ふしみいなりたいしゃ
高桐院,kokiriin
龍光院,ryukoin
瑞峯院,mizuminein
聚光院,in
大徳寺,daitokuji
興臨院,kyo
龍源院,ryugenin
黄梅院,obaiin
大仙院,daisenin
真珠庵,shinjuan
妙覚寺,myokakuji
華芳堂,hanakaorudo
水火天満宮,suikatemmangu
本法寺,hompotera
妙蓮寺,myorenji
妙顕寺,myokenji
宝鏡寺,takarakyotera
報恩寺,hoonji
山名宗全邸宅跡,yamanasozenteitakuato
白峯神宮,shirominejingu
三時知恩寺,sanjichiontera
大聖寺,daishoji
室町幕府跡碑,muromachibakufuatohi
護王神社,mamoruojinja
伊藤仁斎宅跡,itojinsaitakuato
菅大臣神社,kandaijinjinja
五條天神宮,gojotakashijingu
左女牛井跡碑,hidarionnaushiiatohi
飛雲閣,hikumo
興正寺,kyoseitera
万寿禅寺,mansuzentera
龍尾神社,ryuokamisha
渉成園,watarunaruen
市比賣神社,shihiujinja
世継地蔵,yotsugijizo
牛若丸と弁慶像,gyuuwakamarutobenkeizo
文子天満宮,fumikotemmangu
印幡堂,shirushihatado
沸光寺,niekotera
錦天満宮,nishikitemmangu
本能寺,honnoji
矢田寺,yatadera
誓願寺,seiganji
六角堂,rokkakudo
誠心院,seishinin
蛸薬師堂,takoyakushido
革堂,kodo
行願時,kudarinegaiji
下御霊神社,shimomitamajinja
京都御所,kyotogosho
廬山寺,rozanji
清浄華院,seijohanain
梨木神社,nashinokijinja
大宮御所,omiyagosho
仙洞御所,sentogosho
京都迎賓館,kyotogeihinkan
幸神社,sainokamisha
林光院,hayashihikariin
宗旦稲荷神社,sotaninarijinja
瑞春院,mizuharuin
相国寺,shokokuji
阿弥陀寺,amidaji
慈照院,in
天寧寺,tenneiji
上善寺,jozenji
無礙光院,mugekoin
河合神社,kawaijinja
清風荘庭園,seifusoteien
常林寺,tsunehayashiji
聖護院,shogoin
須賀神社,sukajinja
熊野神社,kumanojinja
平安神宮,heianjingu
頂妙寺,itadakimyoji
本因坊,honimbo
寂光寺,jakkodera
要法寺,yohoji
得浄明院,tokukiyoshimeiin
辰巳大明神,tatsumidaimyojin
八坂神社,yasakajinja
目疾地蔵,mejizo
仲源寺,nakagentera
祇園閣,gion
大雲院,daikumoin
正伝永源院,seideneihajimein
高台寺,kodaiji
霊山観音,ryozenkannon
圓徳院,entokuin
安井金比羅宮,yasuikompiramiya
建仁寺,kenninji
六道珍皇寺,rokudochinoji
八坂の塔,yasakanoto
法観寺,hokanji
方広寺,hokoji
豊国神社,toyokunijinja
妙法院,myohoin
智積院,chishakuin
新日吉神社,shinhiyoshijinja
豊国廟跡,toyokunibyoato
養源院,yogenin
法住寺,hojutera
新熊野神社,shinkumanojinja
剣神社,kenjinja
延仁寺,nobejintera
即成院,sokunaruin
戒光寺,kaikoji
今熊野観音寺,konkumanokannonji
楊貴妃観音堂,yokihikannondo
泉涌寺,sennyuji
東福寺,tofukuji
同聚院,do
退耕庵,shisakoan
豊臣秀吉墓,toyotomihideyoshihaka
清閑寺,seikanji
青蓮院大日堂,aohachisuindainichido
青蓮院,aohachisuin
粟田神社,awatajinja
南禅寺,nanzenji
天授庵,tenjuan
金地院,konchiin
水路閣,suiro
聴松院,chomatsuin
